"tipo_selecao","sigma_p","encounters_n","n_reps","Metrica","Gen_1","Gen_50","Delta","Delta_pct"
"uniform",0.5,10,8,"Modularity",0.622922970152933,0.657489672639301,0.0345667024863676,5.54911347672429
"uniform",0.5,10,8,"Nestedness",0.84574985862158,0.685417372193132,-0.160332486428448,-18.9574357942857
"uniform",0.5,10,8,"varz_males",0.731177257372604,0.075228210587806,-0.655949046784798,-89.711357973834
"uniform",0.5,10,8,"zbar_males",5.02324356899235,5.03110319612703,0.00785962713467825,0.156465180848375
"gaussian",0.5,10,8,"Centralization",0.0178115719786524,0.0139308764679126,-0.00388069551073982,-21.7874958784711
"gaussian",0.5,10,8,"I_s",0.496503339675099,0.336585366245017,-0.159917973430082,-32.2088414419789
"gaussian",0.5,10,8,"Modularity",0.610199595889944,0.641906538216955,0.0317069423270118,5.19615918145093
"gaussian",0.5,10,8,"Nestedness",0.877193021926933,0.709627421127943,-0.16756560079899,-19.1024776315363
"gaussian",0.5,10,8,"varz_males",0.718001165657132,0.0758265039915977,-0.642174661665535,-89.4392227173894
"gaussian",0.5,10,8,"zbar_males",5.01027523053078,4.99472488438706,-0.0155503461437201,-0.310369100063844
"sigmoid",0.5,10,8,"Centralization",0.0203322487895047,0.0163353119326369,-0.00399693685686777,-19.6581150380717
"sigmoid",0.5,10,8,"I_s",0.607262425750625,0.313547286569971,-0.293715139180655,-48.3670859130793
"sigmoid",0.5,10,8,"Modularity",0.619308507617309,0.59866399051981,-0.0206445170974986,-3.33347868527192
"sigmoid",0.5,10,8,"Nestedness",0.91942817895491,0.902820176286869,-0.0166080026680406,-1.80634040245738
"sigmoid",0.5,10,8,"varz_males",0.699275708554939,0.0801823886863508,-0.619093319868588,-88.5335086425283
"sigmoid",0.5,10,8,"zbar_males",4.97602344076235,5.7724927360802,0.796469295317848,16.0061403407663
"u-shaped",0.5,10,8,"Centralization",0.0228937541713473,0.0204761694004946,-0.00241758477085268,-10.560018915021
"u-shaped",0.5,10,8,"I_s",0.47578001752527,0.330245431101547,-0.145534586423722,-30.5886294217879
"u-shaped",0.5,10,8,"Modularity",0.606762586747324,0.611410161508662,0.00464757476133848,0.765962645497437
"u-shaped",0.5,10,8,"Nestedness",1.0044930440834,1.01282995115959,0.00833690707619139,0.829961653323225
"u-shaped",0.5,10,8,"varz_males",0.720355373386514,0.0807986265782878,-0.639556746808227,-88.7835047029025
"u-shaped",0.5,10,8,"zbar_males",5.0107691540429,4.95579488380963,-0.0549742702332674,-1.09712238866386
"uniform",0.8,10,8,"Centralization",0.017543372521565,0.0145805944470234,-0.00296277807454161,-16.8883039501079
"uniform",0.8,10,8,"I_s",0.297633827287929,0.342721891656926,0.0450880643689969,15.1488373414555
"uniform",0.8,10,8,"Modularity",0.619901686179207,0.652727610959694,0.0328259247804866,5.29534368309445
"uniform",0.8,10,8,"Nestedness",0.826447104929061,0.695653410128189,-0.130793694800872,-15.8260212929294
"uniform",0.8,10,8,"varz_males",0.737858178276231,0.0806564766772244,-0.657201701599006,-89.0688374742078
"uniform",0.8,10,8,"zbar_males",4.9843486642488,4.98501906491183,0.000670400663032034,0.0134501157160335
"gaussian",0.8,10,8,"Centralization",0.0181427179331054,0.0129675607763429,-0.0051751571567625,-28.524707135083
"gaussian",0.8,10,8,"I_s",0.44209148859938,0.392390909493805,-0.0497005791055753,-11.2421479235068
"gaussian",0.8,10,8,"Modularity",0.664979255468022,0.70859177347544,0.0436125180074174,6.55847797488393
"gaussian",0.8,10,8,"Nestedness",0.767329661485022,0.658714708166765,-0.108614953318258,-14.1549269851049
"gaussian",0.8,10,8,"varz_males",0.725504304841569,0.0775369123045475,-0.647967392537022,-89.3126874937731
"gaussian",0.8,10,8,"zbar_males",5.01007349327999,5.00031067327594,-0.00976282000405426,-0.194863808228545
"sigmoid",0.8,10,8,"Centralization",0.0231706157518162,0.0177704074536697,-0.00540020829814653,-23.3062787626748
"sigmoid",0.8,10,8,"I_s",0.628169149122107,0.309994950490785,-0.318174198631322,-50.6510386694386
"sigmoid",0.8,10,8,"Modularity",0.646989985515728,0.61061703655785,-0.0363729489578773,-5.62187201844922
"sigmoid",0.8,10,8,"Nestedness",0.91857502818631,0.914393392885402,-0.00418163530090854,-0.455230674968925
"sigmoid",0.8,10,8,"varz_males",0.687089139911474,0.0792808694967774,-0.607808270414697,-88.4613414924602
"sigmoid",0.8,10,8,"zbar_males",4.97166842536687,5.85154370821333,0.879875282846459,17.6977868909577
